date,volume,area,solar_exposure,rainfall,max_temperature,min_temperature,humidity,wind_speed
199901,71409252187,108177500,23.6,96,27.6,13.5,37,1.39
199902,62137779475,102580833.3,23.3,14,24.2,11.6,40,1.51
199903,52866306763,96984166.67,17.4,18.27,23.6,11,42,1.26
199904,43594834051,91387500,13.7,22.53,18.1,4.6,46,1.01
199905,44469634082,91980833.33,10.8,26.8,17.2,2.4,54,0.94
199906,45344434112,92574166.67,8.3,30.5,12.7,0.1,60,1.07
199907,46219234143,93167500,9.5,22.4,12.6,0.5,58,1.13
199908,43434847126,90966562.5,12.9,45,14.1,-1.1,52,1.01
199909,40650460110,88765625,15.9,62.6,17.5,3.5,49,1.32
199910,39585954550,87578437.5,17,104.4,18.6,7.1,47,1.13
199911,38521448989,86391250,24,39.1,18.4,5,41,1.39
199912,37331971205,85064687.5,24.4,32.95,22.4,9.7,37,1.51
200001,36142493421,83738125,26.6,26.8,22.4,8.9,37,1.57
200002,25285164302,60168645.83,22.6,0,27.3,11.7,40,1.39
200003,14427835182,36599166.67,16,64.7,23.8,12.1,42,1.2
200004,3570506063,13029687.5,13.3,46.8,18.3,5.3,46,1.01
200005,6406721019,10588750,9.5,40.2,14.4,2.3,54,1.13
200006,8010684862,20279218.75,8.7,33.6,12.2,-1.2,60,1.07
200007,9614648704,29969687.5,8.9,31.6,11.6,-0.5,58,1.01
200008,11218612546,39660156.25,11.8,51.8,12.6,0.2,52,1.13
200009,12822576389,49350625,16.3,91.4,16.8,3.9,49,1.45
200010,12293540129,44395520.83,18.9,67,17.8,5.3,47,1.39
200011,11764503870,39440416.67,18.7,99.6,20,9.9,41,1.26
200012,11235467610,34485312.5,29.6,26.6,25.3,9.8,37,1.39
200101,8503599151,25879765.62,23.9,60.6,27.2,11.8,37,1.45
200102,5771730691,17274218.75,21,103,25.8,12.2,40,1.32
200103,3039862232,8668671.88,17.5,45.4,21.8,8.9,42,1.39
200104,307993772.9,63125,13.8,9.6,20.2,5.4,46,1.07
200105,232774171.6,47708.33,10.7,1.4,15.5,1,54,0.82
200106,157554570.3,32291.67,8.7,33.6,14.2,0.1,60,0.94
200107,82334969,16875,8.8,39.6,12,1.6,58,0.88
200108,295795999.8,60625,12.6,80.4,12.9,1.3,52,1.45
200109,4337250824,20304687.5,16.9,66.2,17.5,4.4,49,1.13
200110,8378705648,40548750,21.8,48.4,17.8,4,47,1.39
200111,7086526938,31327500,24.4,42.4,20.7,6.7,41,1.45
200112,8943295519,36670625,26.8,10,24.3,9.4,37,1.51
200201,10800064100,42013750,27.7,34,26,11.4,37,1.64
200202,12656832682,47356875,20,170.8,21.2,12.4,40,1.39
200203,14513601263,52700000,19.5,24.2,23,9.3,42,1.2
200204,6833100405,23596250,14.2,10.8,20.7,7.9,46,0.88
200205,6764046284,21489625,9.9,33.6,15.4,2.3,54,0.94
200206,6694992164,19383000,9.1,47.2,13,1.6,60,1.13
200207,6625938043,17276375,10.1,19.8,12.6,-1.1,58,1.07
200208,6556883923,15169750,13.9,33.2,14.6,-0.8,52,1.07
200209,6487829802,13063125,17.6,51.2,17.7,2,49,1.57
200210,45741649.45,9375,22.1,19.2,20.9,4.7,47,1.57
200211,3049443.3,625,25,8.8,25.2,9,41,1.51
200212,247004907,50625,27.3,35.2,25.8,10.5,37,1.64
200301,490960370.7,100625,27.9,12.8,28.3,11.8,37,1.7
200302,1372249483,281250,22.1,87.2,26.2,13.4,40,1.64
200303,1507034877,308875,19.3,50.6,21,9.8,42,1.32
200304,1641820271,336500,12.6,27.6,17.6,6.5,46,1.07
200305,1776605664,364125,10.3,17.2,15.4,4.9,54,1.01
200306,1911391058,391750,8.3,52.8,12.9,1.7,60,1.13
200307,2046176452,419375,9.2,40.8,11.5,0.6,58,1.13
200308,7102240612,31806875,11.5,90.2,12.8,0,52,1.32
200309,11926746476,42073437.5,18.7,40,15.9,2.5,49,1.57
200310,16751252340,52340000,19.9,91.6,16.9,4.2,47,1.32
200311,21575758203,62606562.5,24.5,64.2,21.3,7.3,41,1.32
200312,26400264067,72873125,26.4,70.6,24.7,11.3,37,1.39
200401,22629669041,62462857.14,26.3,36.9,27.5,11.7,37,1.45
200402,18859074015,52052589.29,22.7,23.9,28,12.9,40,1.45
200403,15088478990,41642321.43,20.4,13.2,24.5,9.7,42,1.2
200404,11317883964,31232053.57,14.2,8.8,20.9,6.9,46,1.07
200405,7547288938,20821785.71,10.9,5.2,16.5,1.4,54,1.01
200406,3776693912,10411517.86,8.6,14.6,13.3,0.7,60,1.26
200407,6098886.59,1250,8.7,16,12.2,-0.4,58,0.94
200408,42692206.15,8750,12.5,62,14.2,1.9,52,1.26
200409,1906271424,462812.5,17,31.6,17.1,3.1,49,1.13
200410,3769850642,916875,20.5,67.4,19.4,6.6,47,1.39
200411,3461995582,1034218.75,25.2,84.4,22,8.1,41,1.45
200412,3154140521,1151562.5,26.7,60.6,23.4,10.6,37,1.45
200501,51840536.04,10625,25.9,47.2,26.9,11.4,37,1.51
200502,27444989.67,5625,21.4,60.2,24.6,11.3,40,1.39
200503,3049443.3,625,19.8,45.4,22.5,8.6,42,1.2
200504,696123993.1,2667375,15.3,14.8,22.3,7.3,46,1.01
200505,1389198543,5334125,11.1,0.8,16.8,2.1,54,0.82
200506,2082273093,8000875,7.2,60,13.8,1,60,1.13
200507,2775347642,10667625,9,86.8,13,0.5,58,1.01
200508,3468422192,13334375,13.5,51.8,14.2,-0.5,52,1.26
200509,4161496742,16001125,15.1,108.8,16.1,4.1,49,1.13
200510,4854571292,18667875,19.6,94,19.5,7.1,47,1.2
200511,5547645841,21334625,25.2,79.2,21.1,9.5,41,1.39
200512,6240720391,24001375,25.2,43,27.4,8.8,37,1.45
200601,6933794941,26668125,22.6,92.4,27.6,14,37,1.45
200602,6524932102,14195000,26.1,18.8,27.7,12.1,40,1.32
200603,5614819370,11865520.83,19.7,41,24.8,10.6,42,1.26
200604,4704706638,9536041.67,15.3,16.6,19.4,3,46,1.2
200605,3794593906,7206562.5,10.1,15.6,15.5,1.6,54,0.94
200606,2884481174,4877083.33,7.7,83,11.7,-0.4,60,0.88
200607,1974368442,2547604.17,8.6,39.2,12.1,1.2,58,1.01
200608,1064255710,218125,13.4,15.4,14.6,-0.9,52,0.88
200609,240906020.4,49375,18.3,17.2,18.2,3.3,49,1.32
200610,359834309,73750,24.7,5.6,22.2,3.9,47,1.51
200611,478762597.5,98125,25.5,12.5,23.9,7.8,41,1.57
200612,597690886.1,122500,24.9,19.4,25,9.9,37,1.7
200701,1367675318,280312.5,28.1,10.4,28.4,12,37,1.64
200702,2137659751,438125,21.7,56.4,25.4,12.9,40,1.51
200703,6152167691,2823125,18.2,47,22.7,11.2,42,1.39
200704,18296659.78,3750,13.5,28,19.3,6.6,46,1.07
200705,3086520637,12077343.75,10.2,43.6,17.6,4.3,54,1.01
200706,6154744615,24150937.5,7.3,122.2,10.9,1.1,60,1.2
200707,9222968592,36224531.25,9.5,19.2,11.2,0.4,58,1.13
200708,12291192569,48298125,12,17.2,14.1,3.5,52,1.32
200709,10574950680,41406517.86,17.5,14.2,16.1,3.2,49,1.39
200710,8858708790,34514910.71,22.3,21.2,21.7,6.3,47,1.39
200711,7142466900,27623303.57,22.6,80.7,22,10.4,41,1.39
200712,5426225010,20731696.43,23.5,84.6,22.7,11.5,37,1.32
200801,3709983120,13840089.29,25.5,55.6,26,12.6,37,1.45
200802,1993741230,6948482.14,20.6,63.2,22.1,11.2,40,1.26
200803,277499340,56875,19.3,38.2,23.4,8.6,42,1.13
200804,318884641.9,65357.14,14.2,20,17.9,3.9,46,1.07
200805,360269943.7,73839.29,11,9.6,16.7,0.7,54,0.88
200806,401655245.6,82321.43,7.6,27.6,13.3,4.2,60,1.2
200807,443040547.5,90803.57,8.8,48.4,11.7,-1.6,58,1.26
200808,484425849.4,99285.71,12,35.8,12.1,-0.8,52,1.32
200809,525811151.3,107767.86,17.9,46.4,17.3,3.6,49,1.45
200810,567196453.1,116250,22.1,29.4,21.2,5.5,47,1.45
200811,445218721.3,91250,23,98.6,21.7,8.8,41,1.7
200812,1316678330,343125,26.5,111.6,23.5,9.9,37,1.7
200901,2188137938,595000,30,39.6,29.5,11,37,1.57
200902,765410267.4,156875,21.5,7,25.6,12.9,40,1.7
200903,565163490.9,115833.33,18.4,11.4,25.1,9.9,42,1.39
200904,364916714.5,74791.67,12.5,60.6,18.3,7.4,46,1.26
200905,164669938,33750,9.7,10,15.5,3,54,1.13
200906,138749670,28437.5,7.2,26.1,12.6,2.5,60,1.01
200907,112829402,23125,9.5,34,12.2,1.1,58,1.2
200908,118928288.6,24375,12.6,60.7,15.3,1,52,1.32
200909,125027175.2,25625,16.6,87.4,17.6,3.8,49,1.51
200910,116641206.1,23906.25,18,73.4,17.3,6.4,47,1.45
200911,108255237,22187.5,23.3,29.6,26.5,10.1,41,1.51
200912,99869267.96,20468.75,27.4,80.4,26.4,10.6,37,1.51
201001,91483298.89,18750,28,20.4,28.7,13.2,37,1.64
201002,11342653519,46419375,20.4,227.2,25.1,13.8,40,1.45
201003,7133790884,32769375,16.9,80.6,22.7,10.7,42,1.07
201004,9729068280,38323303.57,14.4,28.4,20.5,6.1,46,0.88
201005,12324345677,43877232.14,10.1,87.2,16,2.4,54,0.76
201006,14919623073,49431160.71,8.6,26.8,12.5,1,60,0.88
201007,17514900470,54985089.29,8.5,71.4,11.8,-0.2,58,0.82
201008,20110177866,60539017.86,11.7,70,11.9,1.4,52,1.39
201009,22705455263,66092946.43,16.8,66.4,15.8,3.7,49,1.2
201010,25300732659,71646875,19.4,53.4,18,6.6,47,1.2
201011,26430526399,72906875,20.5,109,21.3,8.8,41,1.07
201012,51048384770,96048750,24.9,103.2,23.1,11,37,1.26
201101,43721160444,89314791.67,23.1,110.5,26.5,13.7,37,1.26
201102,36393936118,82580833.33,19.1,117.8,25.1,13.4,40,1.2
201103,29066711793,75846875,15.2,50.2,21.4,10.9,42,1.13
201104,26713611772,72132500,13.1,10,17.9,4.5,46,1.01
201105,24360511750,68418125,10.4,13,15.3,-0.2,54,0.94
201106,22007411729,64703750,8.1,13.8,12.5,1.1,60,1.2
201107,19654311708,60989375,8.4,30.8,11.6,-0.7,58,1.26
201108,17301211687,57275000,11.6,66.6,15.2,1.6,52,0.94
201109,14948111666,53560625,16.4,36.6,16.8,2.6,49,1.39
201110,20262012448,59349765.62,18.8,49.6,19.1,5.1,47,1.07
201111,25575913230,65138906.25,20.3,121.4,23.3,9.8,41,1.26
201112,30889814012,70928046.88,23.8,79.6,20.1,8.8,37,1.26
201201,36203714794,76717187.5,25.2,34.6,24.5,10.1,37,1.51
201202,41517615576,82506328.12,17.2,166.6,22.9,11.2,40,1.07
201203,46831516358,88295468.75,14.3,188.2,20.6,9.8,42,1.2
201204,52145417140,94084609.38,13,49,19.2,6,46,0.94
201205,57459317923,99873750,10.5,33.8,15.2,0.7,54,0.82
201206,55281446373,97788786.76,7.7,53.8,11.8,1.2,60,1.01
201207,53103574824,95703823.53,9.2,35.6,12.1,-0.9,58,0.94
201208,50925703274,93618860.29,12.7,37.2,13.2,-0.4,52,1.26
201209,48747831725,91533897.06,17.5,61.4,17.1,1.5,49,1.32
201210,46569960175,89448933.82,22.2,56.4,19.5,3.1,47,1.07
201211,44392088626,87363970.59,21.9,44.2,22.6,8.4,41,1.26
201212,42214217076,85279007.35,26,65.2,25,10.4,37,1.7
201301,40036345527,83194044.12,27.4,65.8,29.3,12.2,37,1.51
201302,37858473978,81109080.88,20.1,35.3,23.8,12,40,1.51
201303,35680602428,79024117.65,19.4,33.8,22.7,9.3,42,1.26
201304,33502730879,76939154.41,13.8,9.2,19.8,5.1,46,0.88
201305,31324859329,74854191.18,10.5,11,16.1,1.3,54,1.01
201306,29146987780,72769227.94,7.2,107.4,12.4,1.6,60,0.88
201307,26969116230,70684264.71,8.6,44.6,12.9,1.2,58,0.94
201308,24791244681,68599301.47,12.6,26.4,14.1,1.5,52,1.39
201309,22613373131,66514338.24,16.5,85.6,18.8,4.8,49,1.26
201310,20435501582,64429375,22.2,12.4,20.5,3.8,47,1.45
201311,10289412708,32229375,22.4,84.8,21.7,6.5,41,1.39
201312,143323834.9,29375,27.1,21.6,26.5,10.7,37,1.45
201401,224642322.8,46041.67,27.2,8.4,29.7,10.4,37,1.57
201402,305960810.7,62708.33,20.6,68.6,26.5,12.1,40,1.45
201403,387279298.6,79375,15.6,84.4,23,11.8,42,1.01
201404,1704883836,5650375,12.2,90.8,18.4,8.1,46,0.88
201405,3022488374,11221375,10.5,23.8,17,2.5,54,0.82
201406,4340092912,16792375,7.4,70.6,12.8,2.5,60,1.13
201407,5657697449,22363375,9.2,14.2,12.2,0.5,58,1.13
201408,6975301987,27934375,12.1,56.2,12.7,0.1,52,1.01
201409,8059054930,39915625,16.4,33.3,16.8,3.8,49,1.2
201410,6554638527,15101250,20.7,51,21.3,6,47,1.32
201411,6815030704,23045000,24,34,25.2,9.2,41,1.45
201412,7075422881,30988750,25.1,141.6,25.3,12.1,37,1.57
201501,6584181054,16002500,22.9,148.3,25.2,13,37,1.51
201502,3443037970,8032187.5,19.5,21,24.4,12,40,1.32
201503,301894886.4,61875,18.2,12.5,23.5,8.8,42,1.32
201504,7025003908,29450625,9.7,92.2,17.6,6.9,46,1.26
201505,8694413280,34861406.25,10.3,9.1,15.4,2.8,54,1.13
201506,10363822652,40272187.5,8.7,44.3,12.7,-1.3,60,0.69
201507,12033232024,45682968.75,8.8,37.6,11.3,-0.5,58,1.01
201508,13702641396,51093750,11.2,59.6,12.8,1,52,1.07
201509,7309094847,35210625,16.9,9.8,15.8,2.6,49,1.07
201510,6884441302,25162500,20.2,29,22.7,8.4,47,1.13
201511,6162841274,19134062.5,23.2,55.4,23.6,10.1,41,1.39
201512,5441241246,13105625,26.8,33.2,26.9,10,37,1.45
201601,4719641217,7077187.5,19.5,108.8,25.3,13.1,37,1.45
201602,3998041189,1048750,24.3,29,26.3,12.8,40,1.32
201603,335438762.6,68750,17.1,56.2,25.3,11.5,42,1.07
201604,5941241346,16033750,13.9,14.8,21.6,8.4,46,0.94
201605,8190915044,31998750,10.7,50,17.2,4.1,54,1.13
201606,14312645396,47963750,7.6,199.4,12.1,3.3,60,1.2
201607,25339089617,63928750,9.2,77.6,12.1,2.9,58,1.2
201608,35340002331,79893750,11.9,56,13.4,1.5,52,0.88
201609,55340915044,95858750,13.6,125.4,15.4,4.4,49,1.2
201610,81341827758,111823750,20.6,58.2,17.3,5.1,47,1.45
201611,1.12343E+11,127788750,26.2,52.2,23,8.2,41,1.32
201612,99551315729,122895937.5,22.5,55.2,26.6,13,37,1.26
201701,93250762201,119654531.3,22.8,19.4,29.3,13.7,37,1.26
201702,86950208674,116413125,21,35,27.9,12.5,40,1.26
201703,48430587065,94486875,14.8,82.8,22.1,13.2,42,1.26
201704,36206940980,83810000,12.8,31.6,18.4,5.6,46,0.94
201705,41353446922,89395000,10.3,47,15.7,2,54,0.76
201706,41698888644,89702083.33,8.9,1,13,-0.6,60,0.63
201707,42044330366,90009166.67,9.8,15,12.7,-2,58,0.94
201708,42389772087,90316250,12.7,58.6,13.1,0.5,52,1.2
201709,34112675501,81474375,18,20.6,18,2.4,49,1.57
201710,33762977438,81084375,20.9,38.4,21.7,6.7,47,1.26
201711,35857803331,83420625,23.1,69.4,21.9,8,41,1.2
201712,22389745632,67762500,22.8,81.6,26.3,13.2,37,1.13
201801,16838050874,50831250,23.1,46.2,29.4,13.3,37,1.39
201802,11286356115,33900000,21.7,79.3,25.9,12.1,40,1.45
201803,5734661356,16968750,18.3,12.2,23.4,10.1,42,1.39
201804,182966597.8,37500,14.2,20.7,23.3,9.1,46,1.01
201805,146373278.2,30000,10.6,15.2,17.3,2.2,54,1.07
201806,127640983.7,26160.71,8.4,40.7,12.1,1.9,60,1.07
201807,108908689.2,22321.43,10.8,11.4,13.4,-0.8,58,1.26
201808,90176394.62,18482.14,12.2,34.2,13.4,1.4,52,1.45
201809,71444100.09,14642.86,17.4,27.1,16.9,2,49,1.32
201810,52711805.55,10803.57,19.3,34.2,19.8,7.4,47,1.39
201811,33979511.02,6964.29,20.9,53.6,22.1,9.5,41,1.64
201812,15247216.48,3125,24.5,111.8,26.8,12.3,37,1.32
